# Date: 18-09-18 12:15 
# Contributions at Qvalues 
# N in 1/kg/yr  
# row: sum of all sectors in detector (1 to 9) 
#
# N_116Cd 	# N_130Te 	
0.0+/-0 	0.0+/-0
0.0+/-0 	0.000+/-0.004
0.0+/-0 	0.0001+/-0.0027
0.0+/-0 	0.000+/-0.005
0.000+/-0.005 	0.000+/-0.006
0.0064+/-0.0012 	0.0068+/-0.0011
0.0080+/-0.0011 	0.0065+/-0.0012
0.0073+/-0.0011 	0.0069+/-0.0011
0.0076+/-0.0011 	0.0076+/-0.0011
