# Date: 18-09-18 12:15 
# Contributions at Qvalues 
# N in 1/kg/yr  
# row: detector (1 to 9); columns: sector (1 to 4) 
#
0.0+/-0 	0.0+/-0 	0.0+/-0 	0.0+/-0
0.0+/-0 	0.0+/-0 	0.0+/-0 	0.000+/-0.004
0.0+/-0 	0.0+/-0 	0.0+/-0 	0.0001+/-0.0027
0.0+/-0 	0.000+/-0.004 	0.000+/-0.004 	0.0+/-0
0.0+/-0 	0.000+/-0.004 	0.000+/-0.004 	0.000+/-0.004
0.0016+/-0.0006 	0.0015+/-0.0006 	0.0016+/-0.0006 	0.0021+/-0.0005
0.0014+/-0.0006 	0.0018+/-0.0006 	0.0018+/-0.0006 	0.0014+/-0.0006
0.0016+/-0.0006 	0.0019+/-0.0005 	0.0019+/-0.0005 	0.0015+/-0.0006
0.0018+/-0.0006 	0.0019+/-0.0005 	0.0020+/-0.0005 	0.0019+/-0.0005
