# Date: 18-09-18 12:14 
# Contributions at Qvalues 
# N in 1/kg/yr  
# row: sum of all sectors in detector (1 to 9) 
#
# N_116Cd 	# N_130Te 	
0.00387+/-0.00033 	0.00437+/-0.00031
0.00379+/-0.00034 	0.00385+/-0.00034
0.00419+/-0.00032 	0.00414+/-0.00032
0.00410+/-0.00033 	0.00413+/-0.00032
0.00422+/-0.00032 	0.00433+/-0.00031
0.0+/-0 	0.0002+/-0.0018
0.0000+/-0.0014 	0.0002+/-0.0011
0.0000+/-0.0014 	0.0002+/-0.0016
0.0+/-0 	0.0001+/-0.0021
