# Date: 18-09-18 12:17 
# Contributions at Qvalues 
# N in 1/kg/yr  
# row: detector (1 to 9); columns: sector (1 to 4) 
#
0.0+/-0 	0.0+/-0 	0.0+/-0 	0.0000+/-0.0006
0.0+/-0 	0.0000+/-0.0006 	0.0000+/-0.0004 	0.00007+/-0.00030
0.0+/-0 	0.0000+/-0.0008 	0.0000+/-0.0005 	0.0000+/-0.0004
0.0000+/-0.0006 	0.0+/-0 	0.0000+/-0.0004 	0.00010+/-0.00025
0.0000+/-0.0006 	0.0000+/-0.0004 	0.00005+/-0.00034 	0.00006+/-0.00032
0.00025+/-0.00016 	0.00022+/-0.00017 	0.00026+/-0.00015 	0.00032+/-0.00014
0.00021+/-0.00017 	0.00030+/-0.00014 	0.00026+/-0.00015 	0.00032+/-0.00014
0.00029+/-0.00015 	0.00033+/-0.00014 	0.00030+/-0.00014 	0.00031+/-0.00014
0.00033+/-0.00014 	0.00030+/-0.00014 	0.00024+/-0.00016 	0.00023+/-0.00016
