# Date: 18-09-18 12:17 
# Contributions at Qvalues 
# N in 1/kg/yr  
# row: detector (1 to 9); columns: sector (1 to 4) 
#
0.0002+/-0.0013 	0.0004+/-0.0010 	0.0005+/-0.0008 	0.0007+/-0.0007
0.0007+/-0.0007 	0.0006+/-0.0008 	0.0007+/-0.0007 	0.0004+/-0.0009
0.0006+/-0.0007 	0.0002+/-0.0013 	0.0005+/-0.0008 	0.0005+/-0.0008
0.0005+/-0.0008 	0.0006+/-0.0008 	0.0006+/-0.0008 	0.0005+/-0.0008
0.0004+/-0.0010 	0.0004+/-0.0009 	0.0005+/-0.0008 	0.0008+/-0.0007
0.0000+/-0.0032 	0.0+/-0 	0.0000+/-0.0032 	0.0+/-0
0.0+/-0 	0.0000+/-0.0032 	0.0+/-0 	0.0+/-0
0.0+/-0 	0.0+/-0 	0.0000+/-0.0032 	0.0+/-0
0.0000+/-0.0032 	0.0+/-0 	0.0+/-0 	0.0+/-0
