# Date: 18-09-18 12:14 
# Contributions at Qvalues 
# N in 1/kg/yr  
# row: detector (1 to 9); columns: sector (1 to 4) 
#
0.0020+/-0.0004 	0.00275+/-0.00035 	0.0018+/-0.0004 	0.0023+/-0.0004
0.0024+/-0.0004 	0.0022+/-0.0004 	0.0017+/-0.0004 	0.0024+/-0.0004
0.0020+/-0.0004 	0.0023+/-0.0004 	0.00278+/-0.00035 	0.0018+/-0.0004
0.0024+/-0.0004 	0.0024+/-0.0004 	0.0020+/-0.0004 	0.0019+/-0.0004
0.0019+/-0.0004 	0.0017+/-0.0005 	0.0025+/-0.0004 	0.0020+/-0.0004
0.0+/-0 	0.0+/-0 	0.0+/-0 	0.0+/-0
0.0+/-0 	0.0+/-0 	0.0+/-0 	0.0+/-0
0.0+/-0 	0.0+/-0 	0.0+/-0 	0.0+/-0
0.0+/-0 	0.0+/-0 	0.0+/-0 	0.0+/-0
