# Date: 18-09-18 12:18 
# Contributions at Qvalues 
# N in 1/kg/yr  
# row: sum of all sectors in detector (1 to 9) 
#
# N_116Cd 	# N_130Te 	
0.0+/-0 	0.0004+/-0.0014
0.0+/-0 	0.0005+/-0.0015
0.0+/-0 	0.0004+/-0.0013
0.0000+/-0.0016 	0.0002+/-0.0018
0.0+/-0 	0.0003+/-0.0020
0.0+/-0 	0.0004+/-0.0014
0.0+/-0 	0.0004+/-0.0012
0.0+/-0 	0.0004+/-0.0015
0.0+/-0 	0.0005+/-0.0012
