# Date: 18-09-18 12:15 
# Contributions at Qvalues 
# N in 1/kg/yr  
# row: sum of all sectors in detector (1 to 9) 
#
# N_116Cd 	# N_130Te 	
0.0+/-0 	0.0000+/-0.0013
0.0+/-0 	0.0000+/-0.0013
0.0000+/-0.0006 	0.0001+/-0.0011
0.0000+/-0.0008 	0.0001+/-0.0013
0.0000+/-0.0008 	0.0002+/-0.0007
0.00169+/-0.00024 	0.00220+/-0.00021
0.00174+/-0.00024 	0.00203+/-0.00022
0.00161+/-0.00025 	0.00205+/-0.00022
0.00206+/-0.00022 	0.00204+/-0.00022
