# Date: 18-09-18 12:14 
# Contributions at Qvalues 
# N in 1/kg/yr  
# row: sum of all sectors in detector (1 to 9) 
#
# N_116Cd 	# N_130Te 	
0.0+/-0 	0.0000+/-0.0015
0.0+/-0 	0.0001+/-0.0014
0.0+/-0 	0.0001+/-0.0013
0.0000+/-0.0008 	0.0001+/-0.0012
0.0000+/-0.0008 	0.0002+/-0.0007
0.00286+/-0.00018 	0.00300+/-0.00018
0.00287+/-0.00019 	0.00276+/-0.00019
0.00260+/-0.00019 	0.00303+/-0.00018
0.00270+/-0.00019 	0.00280+/-0.00019
