# Date: 18-09-18 12:17 
# Contributions at Qvalues 
# N in 1/kg/yr  
# row: detector (1 to 9); columns: sector (1 to 4) 
#
0.0001+/-0.0005 	0.00033+/-0.00028 	0.00027+/-0.00031 	0.00021+/-0.00035
0.00021+/-0.00035 	0.00021+/-0.00035 	0.00027+/-0.00031 	0.00024+/-0.00033
0.00023+/-0.00034 	0.00026+/-0.00032 	0.00030+/-0.00030 	0.00027+/-0.00031
0.00026+/-0.00032 	0.0002+/-0.0004 	0.00033+/-0.00028 	0.00026+/-0.00032
0.0002+/-0.0004 	0.0002+/-0.0004 	0.00024+/-0.00033 	0.00033+/-0.00028
0.0+/-0 	0.0+/-0 	0.0+/-0 	0.0+/-0
0.0+/-0 	0.0+/-0 	0.0+/-0 	0.0+/-0
0.0+/-0 	0.0+/-0 	0.0+/-0 	0.0+/-0
0.0+/-0 	0.0+/-0 	0.0+/-0 	0.0+/-0
