# Date: 18-09-18 12:15 
# Contributions at Qvalues 
# N in 1/kg/yr  
# row: detector (1 to 9); columns: sector (1 to 4) 
#
0.00053+/-0.00022 	0.00054+/-0.00022 	0.00037+/-0.00027 	0.00064+/-0.00020
0.00091+/-0.00017 	0.00072+/-0.00019 	0.00065+/-0.00020 	0.00072+/-0.00019
0.00057+/-0.00022 	0.00048+/-0.00023 	0.00061+/-0.00021 	0.00070+/-0.00020
0.00078+/-0.00018 	0.00055+/-0.00022 	0.00065+/-0.00020 	0.00085+/-0.00018
0.00058+/-0.00021 	0.00055+/-0.00022 	0.00068+/-0.00020 	0.00074+/-0.00019
0.0+/-0 	0.0+/-0 	0.0+/-0 	0.0+/-0
0.0+/-0 	0.0+/-0 	0.0+/-0 	0.0+/-0
0.0+/-0 	0.0+/-0 	0.0+/-0 	0.0+/-0
0.0+/-0 	0.0+/-0 	0.0+/-0 	0.0+/-0
